HP_ID,ModelName,balance_classes/default,balance_classes/actual,class_sampling_factors/default,class_sampling_factors/actual,max_after_balance_size/default,max_after_balance_size/actual,ntrees/default,ntrees/actual,max_depth/default,max_depth/actual,min_rows/default,min_rows/actual,nbins/default,nbins/actual,nbins_top_level/default,nbins_top_level/actual,nbins_cats/default,nbins_cats/actual,stopping_rounds/default,stopping_rounds/actual,stopping_metric/default,stopping_metric/actual,stopping_tolerance/default,stopping_tolerance/actual,max_runtime_secs/default,max_runtime_secs/actual,seed/default,seed/actual,learn_rate_annealing/default,learn_rate_annealing/actual,distribution/default,distribution/actual,quantile_alpha/default,quantile_alpha/actual,tweedie_power/default,tweedie_power/actual,huber_alpha/default,huber_alpha/actual,sample_rate/default,sample_rate/actual,sample_rate_per_class/default,sample_rate_per_class/actual,col_sample_rate/default,col_sample_rate/actual,col_sample_rate_change_per_level/default,col_sample_rate_change_per_level/actual,col_sample_rate_per_tree/default,col_sample_rate_per_tree/actual,min_split_improvement/default,min_split_improvement/actual,histogram_type/default,histogram_type/actual,max_abs_leafnode_pred/default,max_abs_leafnode_pred/actual,pred_noise_bandwidth/default,pred_noise_bandwidth/actual,categorical_encoding/default,categorical_encoding/actual
24,GBMgrid1AutoML20190422233034model2,FALSE,FALSE,,,5,5,50,25,5,17,10,10,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,1.54E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.7,,,1,0.4,1,1,1,0.7,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
26,GBM1AutoML20190422233034,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,8.63E+17,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
27,GBM2AutoML20190422233034,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,8.63E+17,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
28,GBM5AutoML20190422233034,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,8.63E+17,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
30,GBM3AutoML20190422233034,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,8.63E+17,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
31,GBM4AutoML20190422233034,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,8.63E+17,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
33,GBMgrid1AutoML20190422233034model1,FALSE,FALSE,,,5,5,50,30,5,16,10,5,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,7.91E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,1,1,1,1,0.4,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
38,GBMgrid1AutoML20190423001614model4,FALSE,FALSE,,,5,5,50,123,5,10,10,10,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,-2.23E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.9,,,1,0.7,1,1,1,0.4,0.00001,0.0001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
39,GBMgrid1AutoML20190423001614model1,FALSE,FALSE,,,5,5,50,115,5,8,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,5.43E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.5,,,1,1,1,1,1,0.4,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
41,GBMgrid1AutoML20190423001614model2,FALSE,FALSE,,,5,5,50,102,5,12,10,10,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,3.34E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.5,,,1,1,1,1,1,0.4,0.00001,0.0001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
45,GBMgrid1AutoML20190423001614model5,FALSE,FALSE,,,5,5,50,40,5,11,10,10,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,5.16E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.9,,,1,0.4,1,1,1,0.7,0.00001,0.0001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
46,GBM1AutoML20190423001614,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,6.21E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
47,GBM5AutoML20190423001614,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,6.21E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
48,GBM2AutoML20190423001614,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,6.21E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
49,GBM4AutoML20190423001614,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,6.21E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
50,GBM3AutoML20190423001614,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,6.21E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
52,GBMgrid1AutoML20190423001614model3,FALSE,FALSE,,,5,5,50,30,5,12,10,15,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,5.18E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.9,,,1,0.4,1,1,1,1,0.00001,0.0001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
53,GBMgrid1AutoML20190423001614model6,FALSE,FALSE,,,5,5,50,9,5,15,10,1,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,-2.49E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.5,,,1,0.7,1,1,1,0.7,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
